X,Y,OBJECTID,CFNAME,CFTYPE,CFSUBTYPE,ADDRESS,GNISCODE,COMMENT,Jurisdiction,Community
1106352.13575,1872321.7795,889,Creative World Montessori School,School,PrivSchool,1200 W GOODMAN AVE,,,CREATIVE WORLD MONT   ,La Grange
1106822.99725,1874312.30625,890,Lyons North High School,School,PubHigh,100 S BRAINARD AVE,1831415,,SCHOOL DIST #204      ,La Grange
1110065.87425,1874786.57525,892,Cossitt Avenue Elementary School,School,PubElem,115 W COSSITT AVE,406608,,SCHOOL DIST #102      ,La Grange
1111671.32125,1870275.8925,893,Seventh Avenue Elementary School,School,PubElem,701 S 7TH AVE,418233,,SCHOOL DIST #105      ,La Grange
1108747.2335,1876516.401,894,Saint Francis Xavier School,School,PrivSchool,145 N WAIOLA AVE,417292,,CATHOLIC BISHOP CHGO  ,La Grange
1108730.87375,1877059.06775,895,Ogden Avenue Elementary School,School,PubElem,501 W Ogden Ave,414960,,SCHOOL DIST #102      ,La Grange Park
1107767.31775,1877259.4455,896,Park Junior High School,School,PubElem,325 N Park Rd,2042567,,SCHOOL DIST #102      ,La Grange Park
1124836.9735,1880953.9,897,Saint Mary's Catholic School,School,PrivSchool,97 HERRICK RD,417619,,CATHOLIC BISHOP CHGO  ,Riverside
1123556.37375,1881051.308,898,Tallgrass Sudbury School ,School,PrivSchool,82 WOODSIDE RD,,,,Riverside
1125643.145,1853428.309,899,Robina Lyle Elementary School,School,PubElem,7801 W 75TH ST,1832889,,SCHOOL DIST #109      ,Bridgeview
1128970.2845,1842431.98825,900,Aqsa School,School,PrivSchool,9207 OKETO AVE,,,AQSA SCHOOL           ,Bridgeview
1132356.7495,1843145.75125,901,George W Lieb Elementary School,School,PubElem,9101 PEMBROKE LN,412070,,SCHOOL DIST 122       ,Bridgeview
1102876.26975,1874611.9675,902,McClure Junior High School,School,PubElem,4225 WOLF RD,413211,,SCHOOL DIST #101      ,Western Springs
1103188.473,1868426.23,903,Sunflower Montessori School,School,PrivSchool,5129 WOLF RD,,,ST JAMES EV LUTH CH   ,Western Springs
1129234.32,1865448.68,904,Peckwas Preparatory Academy,School,PrivSchool,5714 S HARLEM AVE,,,,Summit
1128804.76175,1866188.3285,905,Saint Joseph School,School,PrivSchool,5641 S 73RD AVE,1833312,,CATHOLIC BISHOP CHGO  ,Summit
1123609.082,1850038.596,906,George T Wilkins Elementary School,School,PubElem,8001 S 82ND AVE,421179,,SCHOOL DIST #109      ,Justice
1119819.91275,1843203.57125,907,Glen Oaks Elementary School,School,PubElem,9045 S 88TH AVE,409061,,SCHOOL DIST # 117,Hickory Hills
1106325.801,1860057.21225,908,Acacia Academy,School,PrivSchool,6425 S WILLOW SPRINGS RD,,,,Lyons Twp
1125682.874,1859407.56825,909,W W Walker Elementary School,School,PubElem,7735 W 66TH PL,420414,,SCHOOL DIST #104      ,Bedford Park
1104449.31575,1848854.8015,910,Pleasantdale South School,School,PubSchool,8100 SCHOOL AVE,1737251,,SCHOOL DIST #107      ,Willow Springs
1099582.00125,1873112.22225,911,Montessori School of Western Springs,School,PrivSchool,1500 WALKER ST,,,WESTERN SPS VILLAGE   ,Western Springs
1120560.22475,1880657.12125,912,Hollywood Elementary School,School,PubElem,3425 HOLLYWOOD AVE,410407,,SCHOOL DIST #96       ,Brookfield
1123587.07925,1876592.47825,913,Washington Elementary School,School,PubElem,4036 JOLIET AVE,420614,,SCHOOL DIST #103      ,Lyons
1174524.1405,1771084.82175,914,Prairie State College,School,HigherEd,202 S Halsted St,426744,,IL COMM COL DIST #515 ,Chicago Heights
1177003.82925,1897592.605,916,Columbia College,School,HigherEd,600 S Michigan Ave,1826065,Feature name was found on the campus map on the College of Columbia website.,COLUMBIA COLLEGE      ,Chicago
1164611.812,1895767.1985,917,University of Illinois at Chicago College of Medicine,School,HigherEd,1853 W Polk St,1837072,Additional GNIS Codes.,UNIVERSITY OF ILLINOIS,Chicago
1164626.417,1880246.93725,918,Saint Andrew Lutheran School,School,PubSchool,3659 S Honore St,417146,,ST ANDREW LUTH CHURCH ,Chicago
1177077.024,1885415.4775,919,Saint James School,School,PrivSchool,2942 S Wabash Ave,1833266,,CATHOLIC BISHOP CHGO  ,Chicago
1177313.3605,1892870.298,920,Old Saint Marys School,School,PrivSchool,1532 S Michigan Ave,,,CATHOLIC BISHOP CHGO  ,Chicago
1164211.56925,1889177.00975,921,Cristo Rey Jesuit High School,School,PrivHigh,1852 W 22nd Pl,,,CRISTO REY JESUIT H.S.,Chicago
1175427.55575,1888981.69,922,Pui Tak Christian School,School,PrivSchool,2301 S Wentworth Ave,,,CHINESE CHRIST UN CHUR,Chicago
1174815.12175,1885805.49425,923,Saint Jerome School,School,PrivSchool,2801 S Princeton Ave,1833271,,CATHOLIC BISHOP CHGO  ,Chicago
1165243.4555,1881105.805,924,Our Lady of Good Counsel School,School,PrivSchool,3528 S Hermitage Ave,1832570,Closed,CATHOLIC BISHOP CHGO  ,Chicago
1165514.76075,1891955.63425,925,Uno Charter - Bartolome de las Casas,School,PrivSchool,1641 W 16th St,1833091,,CATHOLIC BISHOP CHGO  ,Chicago
1175121.39875,1884720.39075,926,Santa Lucia School,School,PrivSchool,3017 S Wells St,1836585,,CATHOLIC BISHOP CHGO  ,Chicago
1169744.75525,1883440.284,927,Saint Mary Perpetual Help Elementary School,School,PrivElem,1039 W 32nd St,1833368,,CATHOLIC BISHOP CHGO  ,Chicago
1169744.75525,1883440.284,928,Saint Mary Perpetual Help High School,School,PrivHigh,1039 W 32nd St,417536,,CATHOLIC BISHOP CHGO  ,Chicago
1168459.68775,1891906.1815,929,Saint Procopius High School,School,PrivHigh,1625 S Allport St,417778,,CATHOLIC BISHOP CHGO  ,Chicago
1168459.68775,1891906.1815,930,Saint Procopius Elementary School,School,PrivElem,1625 S Allport St,,,CATHOLIC BISHOP CHGO  ,Chicago
1171710.41225,1891289.12125,931,Jane Addams High School,School,PrivHigh,1814 S Union Ave,,,CATHOLIC BISHOP CHGO  ,Chicago
1169758.399,1885910.84675,932,Saint Barbara Catholic School,School,PrivSchool,2867 S Throop St,1833126,Additional GNIS code of 417186 ,CATHOLIC BISHOP CHGO  ,Chicago
1174798.363,1889027.19025,933,Saint Therese School,School,PrivSchool,247 W 23rd St,1836535,Additional GNIS code of 1836534.,CATHOLIC BISHOP CHGO  ,Chicago
1182528.49125,1880975.17775,934,Christ King Lutheran School,School,PrivSchool,3701 S Lake Park Ave,1801836,,CHRIST KING LUTH CH   ,Chicago
1165133.71725,1897203.9755,935,Rush University Medical Center,School,HigherEd,1653 W Congress Pkwy,2662344,Additional GNIS codes of 1832934 and 1832936 and 1832935.,RUSH PRSB-ST LUKES CTR,Chicago
1166067.9895,1890629.6995,936,Saint Pius V School,School,PrivSchool,1919 S Ashland Ave,,,DMNCN PV ST ALBT GREAT,Chicago
1165778.64025,1879688.033,937,Namaste Elementary Charter School Incorporated,School,PrivElem,3737 S Paulina St,,,CATHOLIC BISHOP CHGO  ,Chicago
1176132.30975,1889418.6875,938,National Teachers Elementary Academy,School,PubElem,55 W Cermak Rd,,,CHICAGO PUB BLDG COMM ,Chicago
1162601.038,1899263.674,940,Noble Street Charter - Chicago Bulls College Preparatory,School,PubHigh,2040 W Adams St,,,CHICAGO PARK DISTRICT ,Chicago
1168728.69025,1767912.97225,942,Marian Catholic School,School,PrivSchool,700 Ashland Ave,412997,,MARIAN CATHOLIC SCHOOL,Chicago Heights
1151690.31925,1895949.215,943,John Milton Gregory Elementary School,School,PubElem,3715 W Polk St,409484,,CHICAGO BD EDUCATION  ,Chicago
1155446.076,1898247.69225,944,Locke A Elementary Charter Academy,School,PubElem,3149 W Jackson Blvd,,,THE SERVITE FRIARS    ,Chicago
1164887.739,1767718.79325,945,Epitome of Excellence,School,PrivSchool,20401 Western Ave,,,GREEK ORTH CH ASSUMP  ,Olympia Fields
1161414.1365,1897509.5945,946,University of Illinois at Chicago College of Medicine - Radiology,School,HigherEd,2242 W Harrison St,,,UNIVERSITY OF ILLINOIS,Chicago
