RCDTS,Level,School Name,District,City,County,District Type,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title I Status,State Senate District,State House District,# Student Enrollment,% Student Enrollment -Male,% Student Enrollment - Female,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - Never EL,% Student Enrollment - Low Income,Latitude,Longitude
15-016-2990-25-0031,School,Morgan Park High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,7 - 12,Commendable,All Students,Title 1 Schoolwide,18.0,35.0,1213.0,48.7,51.3,,95.6,3.5,,13.9,12.4,97.8,78.3,41.6966043,-87.6608889
15-016-2990-25-2357,School,Morrill Elem Math & Sci School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Targeted,Children with Disabilities,Title 1 Schoolwide,3.0,6.0,597.0,48.1,51.9,,23.3,73.5,,17.8,14.4,38.2,96.1,41.7840421,-87.6882963
15-016-2990-25-2844,School,Morton Elem Career Academy,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Targeted,Hispanic or Latino,Title 1 Schoolwide,5.0,10.0,267.0,50.2,49.8,13.1,59.2,25.5,,16.9,12.4,87.3,75.7,41.87642,-87.62922
15-016-2990-25-2089,School,Mosaic School of Fine Arts,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,8.0,16.0,745.0,51.0,49.0,9.4,9.9,39.6,,18.3,14.4,23.5,88.9,42.0041,-87.69798
15-016-2990-25-2361,School,Mount Greenwood Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Exemplary,All Students,Title 1 Ineligible Due to Ranking,18.0,35.0,1177.0,51.1,,77.9,3.0,16.5,1.6,20.7,15.1,97.7,15.6,41.6962249,-87.7057539
15-016-2990-25-2362,School,Mount Vernon Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,14.0,27.0,243.0,51.0,49.0,,95.1,4.1,,17.7,16.0,,75.7,41.7024928,-87.6477328
15-016-2990-25-244C,School,Moving Everest Charter School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,K - 8,Targeted,Children with Disabilities,Title 1 Schoolwide,4.0,8.0,755.0,48.6,51.4,,93.6,5.6,,16.7,16.7,97.5,90.7,41.8884,-87.75573
15-016-2990-25-2363,School,Mozart Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,2.0,3.0,498.0,49.2,50.8,3.8,6.4,88.2,,22.3,19.5,27.9,88.8,41.9211404,-87.7219576
15-016-2990-25-0836,School,Multicultural Arts High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Targeted,English Learner,Title 1 Schoolwide,12.0,23.0,273.0,37.4,62.6,,,81.7,,15.4,15.0,27.5,93.4,41.835226,-87.735982
15-016-2990-25-2365,School,Murphy Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,20.0,40.0,514.0,,50.0,32.5,4.9,56.4,2.7,23.5,18.3,59.9,51.8,41.9497,-87.7171
15-016-2990-25-2366,School,Murray Elem Language Academy,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,K - 8,Commendable,All Students,Title 1 Schoolwide,13.0,25.0,477.0,53.9,46.1,,88.7,4.6,4.2,15.5,15.5,99.0,60.6,41.7414,-87.5652
15-016-2990-25-218C,School,Namaste Elem Charter School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,K - 8,Commendable,All Students,Title 1 Schoolwide,12.0,24.0,364.0,49.5,50.5,5.5,3.3,89.3,,23.4,23.4,36.8,83.2,41.78976,-87.62338
15-016-2990-25-2368,School,Nash Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Targeted,"Hispanic or Latino, English Learner",Title 1 Schoolwide,4.0,8.0,255.0,51.4,48.6,,62.4,36.5,,22.4,21.2,67.5,91.0,41.89198,-87.74728
15-016-2990-25-2924,School,National Teachers Elem Academy,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Targeted,Children with Disabilities,Title 1 Schoolwide,3.0,6.0,795.0,51.1,48.9,9.7,73.3,6.9,5.7,13.3,9.6,95.2,46.2,41.8519,-87.6288
15-016-2990-25-2369,School,Neil Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Comprehensive,All Students,Title 1 Schoolwide,17.0,34.0,257.0,54.1,45.9,,93.0,,,39.7,38.9,94.6,87.9,41.73861,-87.62058
15-016-2990-25-2370,School,Nettelhorst Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Ineligible Due to Ranking,6.0,12.0,649.0,51.6,48.4,55.0,7.7,14.8,11.7,18.0,8.2,76.7,19.3,41.94142,-87.64505
15-016-2990-25-2930,School,New Field Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 4,Commendable,All Students,Title 1 Schoolwide,7.0,14.0,538.0,50.6,,12.8,29.7,42.0,5.4,22.3,18.4,46.7,79.9,42.007412,-87.672567
15-016-2990-25-2371,School,Newberry Elem Math & Science Acad,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,6.0,12.0,330.0,53.3,46.7,3.3,75.5,16.4,4.2,14.8,14.8,91.2,74.2,41.9142,-87.6462
15-016-2990-25-2072,School,Nicholson Technology Acad Elem Sch,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Comprehensive,All Students,Title 1 Schoolwide,3.0,6.0,485.0,48.9,51.1,,75.3,19.4,,13.8,13.2,79.8,92.4,41.6964,-87.6398
15-016-2990-25-2373,School,Nightingale Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,1.0,1.0,917.0,53.5,,,,97.5,,18.6,15.4,37.0,90.6,41.79753,-87.68922
15-016-2990-25-2823,School,Ninos Heroes Elem Academic Ctr,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,13.0,26.0,314.0,47.8,52.2,,68.2,29.9,,13.7,11.1,66.2,88.9,41.7442,-87.5531
15-016-2990-25-2374,School,Nixon Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 6,Targeted,Children with Disabilities,Title 1 Schoolwide,2.0,3.0,667.0,52.6,,,2.1,96.0,,13.5,10.3,26.1,94.9,41.91948,-87.73117
15-016-2990-25-2375,School,Nobel Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Targeted,"Children with Disabilities, English Learner",Title 1 Schoolwide,2.0,4.0,591.0,50.9,49.1,,10.7,87.1,,17.9,12.2,29.6,96.3,41.90587,-87.72978
15-016-2990-25-044C,School,Noble St Chtr - Mansueto,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,1.0,1.0,1082.0,51.0,49.0,,,98.3,,13.0,13.0,15.6,91.1,41.807631,-87.69689
15-016-2990-25-029C,School,Noble St Chtr Rauner College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,5.0,10.0,550.0,49.8,50.2,2.7,27.1,68.9,,14.4,14.2,51.8,84.9,41.8922648,-87.6612412
15-016-2990-25-040C,School,Noble St Chtr-Baker Campus,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,13.0,25.0,279.0,50.5,49.5,,83.5,15.4,,22.6,22.6,83.5,93.5,41.734303,-87.557463
15-016-2990-25-039C,School,Noble St Chtr-Butler College Prep - Crimson,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,17.0,34.0,672.0,44.8,55.2,,94.3,4.9,,13.7,13.7,96.1,88.4,41.706489,-87.602684
15-016-2990-25-034C,School,Noble St Chtr-Chicago Bulls Prep,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,5.0,10.0,1051.0,50.3,49.7,1.0,57.5,40.7,,18.8,18.7,70.8,87.1,41.807631,-87.69689
15-016-2990-25-032C,School,Noble St Chtr-Comer College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,6 - 12,Commendable,All Students,Title 1 Schoolwide,3.0,5.0,990.0,,50.2,,97.6,2.0,,16.0,16.0,98.0,86.2,41.76521,-87.60406
15-016-2990-25-038C,School,Noble St Chtr-DRW Trading College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,5.0,9.0,313.0,51.4,48.6,,97.8,,,21.7,21.7,,87.2,41.869237,-87.709997
15-016-2990-25-031C,School,Noble St Chtr-Golder College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,5.0,10.0,626.0,50.0,50.0,2.2,27.2,69.5,,13.4,13.4,41.9,89.1,41.89549,-87.66444
15-016-2990-25-037C,School,Noble St Chtr-Hansberry College Prep - Silver,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,14.0,27.0,527.0,44.0,56.0,,97.7,,,21.1,21.1,98.9,85.8,41.734429,-87.651301
15-016-2990-25-042C,School,Noble St Chtr-ITW Speer Acad,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,2.0,4.0,1127.0,53.9,46.1,1.4,9.1,88.7,,13.5,13.4,28.0,87.2,41.883229,-87.632398
15-016-2990-25-036C,School,Noble St Chtr-Johnson College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,3.0,6.0,498.0,49.0,51.0,,94.4,4.6,,21.7,21.7,96.6,92.0,41.778717,-87.635453
15-016-2990-25-035C,School,Noble St Chtr-Muchin College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,3.0,5.0,891.0,46.0,54.0,1.2,48.7,45.3,,13.0,12.9,60.6,72.6,41.8817499,-87.6317399
15-016-2990-25-041C,School,Noble St Chtr-Noble Campus,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,5.0,10.0,683.0,53.6,46.4,2.9,17.0,77.3,,13.2,13.2,43.2,73.1,41.734303,-87.557463
15-016-2990-25-028C,School,Noble St Chtr-Pritzker College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,2.0,4.0,980.0,51.3,48.7,,5.5,92.2,,12.0,11.8,23.0,94.0,41.9148249,-87.7297547
15-016-2990-25-030C,School,Noble St Chtr-Rowe-Clark MS Acad,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,5.0,10.0,311.0,43.7,56.3,,87.5,11.9,,22.2,22.2,90.0,95.2,41.895247,-87.718067
15-016-2990-25-043C,School,Noble St Chtr-The Noble Academy,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,5.0,9.0,401.0,47.4,52.6,,51.1,43.4,,13.0,13.0,64.6,82.0,41.907482,-87.645526
15-016-2990-25-033C,School,Noble St Chtr-UIC College Prep,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,5.0,9.0,940.0,49.0,51.0,1.5,46.7,45.4,,12.7,12.6,62.9,84.6,41.86561,-87.67605
15-016-2990-25-084C,School,North Lawndale Prep Chtr - Christiana,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,5.0,9.0,251.0,42.2,57.8,,96.8,,,27.1,27.1,99.2,99.2,41.8585484,-87.708763
15-016-2990-25-046C,School,North Lawndale Prep Chtr-Collins,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,5.0,9.0,266.0,48.5,51.5,,95.9,,,16.5,16.5,98.9,94.7,41.860828,-87.71526
15-016-2990-25-2935,School,North River Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Targeted,English Learner,Title 1 Schoolwide,20.0,40.0,315.0,57.1,42.9,4.1,,84.1,3.5,19.7,19.4,14.6,84.1,41.9620729,-87.7076842
15-016-2990-25-0825,School,North-Grand High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,2.0,4.0,1013.0,44.9,55.1,,19.6,78.1,,20.4,17.9,34.6,88.2,41.9125,-87.7353
15-016-2990-25-0794,School,Northside College Preparatory Hs,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Ineligible Due to Ranking,8.0,15.0,1059.0,,50.2,35.1,6.0,28.3,6.2,12.4,12.3,65.7,36.2,41.9812406,-87.7076705
15-016-2990-25-2915,School,Northwest Middle School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,6 - 8,Targeted,Children with Disabilities,Title 1 Schoolwide,2.0,3.0,525.0,48.4,51.6,2.3,1.9,94.9,,22.3,14.9,22.1,90.3,41.9210582,-87.7579071
15-016-2990-25-2376,School,Norwood Park Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Ineligible Due to Ranking,10.0,20.0,314.0,47.5,52.5,56.1,,35.4,,22.9,15.9,80.6,14.0,41.9892429,-87.8026583
15-016-2990-25-2380,School,Ogden Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Targeted,"Black/African American, Children with Disabilities, Low Income",Title 1 Schoolwide,6.0,12.0,809.0,52.5,47.5,17.2,45.4,20.0,,17.7,11.9,76.6,55.1,41.900253,-87.629083
15-016-2990-25-0855,School,Ogden Int High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Ineligible Due to Ranking,5.0,10.0,511.0,49.3,50.7,11.5,47.4,38.0,,9.4,9.4,68.1,65.6,41.8939,-87.6585
15-016-2990-25-2381,School,Oglesby Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,16.0,31.0,292.0,54.8,,,92.1,6.5,,9.6,8.6,96.2,76.4,41.75481,-87.64603
15-016-2990-25-2382,School,OKeeffe Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Targeted,"Hispanic or Latino, Children with Disabilities",Title 1 Schoolwide,13.0,25.0,572.0,49.1,50.9,,85.8,12.2,,18.4,15.6,88.5,82.0,41.76865,-87.57283
15-016-2990-25-2383,School,Onahan Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Ineligible Due to Ranking,10.0,20.0,651.0,49.0,51.0,59.1,1.8,31.5,4.0,28.7,18.6,80.6,31.6,41.9941,-87.7925
15-016-2990-25-2384,School,Oriole Park Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Ineligible Due to Ranking,10.0,20.0,615.0,52.2,47.8,60.3,2.1,27.0,3.6,22.9,10.1,76.6,24.6,41.9783744,-87.8121244
15-016-2990-25-2842,School,Orozco Elem Fine Arts & Sciences,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,12.0,24.0,281.0,50.2,49.8,,,94.0,,14.9,14.9,22.8,73.0,41.8580122,-87.675053
15-016-2990-25-0847,School,Orr Academy High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Intensive,"All Students, From Comprehensive",Title 1 Schoolwide,5.0,10.0,302.0,50.0,50.0,,48.7,48.0,,19.2,17.2,56.0,88.4,41.8942871,-87.7268066
15-016-2990-25-2898,School,Ortiz De Dominguez Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 2,Commendable,All Students,Title 1 Schoolwide,12.0,23.0,402.0,54.2,45.8,,,97.3,,28.4,24.6,24.9,87.6,41.838401,-87.7176233
15-016-2990-25-2386,School,Otis Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Targeted,Black/African American,Title 1 Schoolwide,5.0,10.0,354.0,58.2,41.8,4.2,29.1,61.0,,36.7,34.7,48.6,83.6,41.8917,-87.66505
15-016-2990-25-2387,School,OToole Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Comprehensive,All Students,Title 1 Schoolwide,3.0,6.0,308.0,51.0,49.0,4.2,55.5,40.3,,15.9,13.3,65.9,93.8,41.7746,-87.6754
15-016-2990-25-2389,School,Owen Elem Scholastic Academy,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,16.0,31.0,281.0,52.0,48.0,,93.6,5.3,,11.7,11.7,96.4,58.4,41.8741,-87.7023
15-016-2990-25-2222,School,Owens Community Academy ES,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,14.0,28.0,337.0,,53.4,,92.9,5.3,,25.2,21.1,95.8,95.5,41.670266,-87.623255
15-016-2990-25-2391,School,Palmer Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,8.0,15.0,743.0,52.2,47.8,37.1,,40.1,4.0,19.4,13.5,45.0,64.9,41.97281,-87.73867
15-016-2990-25-2394,School,Park Manor Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Targeted,Children with Disabilities,Title 1 Schoolwide,16.0,32.0,313.0,49.2,50.8,,88.2,11.8,,19.2,17.6,88.8,92.0,41.7667,-87.6113
15-016-2990-25-2392,School,Parker Elem Community Academy,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Comprehensive,All Students,Title 1 Schoolwide,16.0,32.0,366.0,46.7,53.3,,94.8,4.6,,9.8,9.8,95.9,93.2,42.0209,-87.6713
15-016-2990-25-2395,School,Parkside Elem Community Academy,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,13.0,26.0,283.0,48.4,51.6,,92.6,,,17.0,15.5,,88.3,42.0209,-87.6713
15-016-2990-25-2396,School,Pasteur Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 4,Commendable,All Students,Title 1 Schoolwide,11.0,22.0,615.0,46.5,53.5,1.6,,95.6,,21.5,17.1,47.8,86.2,41.787,-87.7324
15-016-2990-25-0796,School,Payton College Preparatory HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Ineligible Due to Ranking,6.0,12.0,1251.0,51.8,,31.9,9.3,26.1,4.6,9.0,9.0,71.9,33.0,41.9017,-87.6352
15-016-2990-25-2398,School,Peck Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 4,Commendable,All Students,Title 1 Schoolwide,11.0,22.0,773.0,49.8,50.2,1.4,,96.9,,16.9,14.7,24.3,91.5,41.7881,-87.7197
15-016-2990-25-2399,School,Peirce Elem Intl Studies School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Targeted,English Learner,Title 1 Ineligible Due to Ranking,7.0,14.0,1116.0,50.9,,49.1,6.8,28.9,9.3,21.1,16.1,76.1,34.2,41.9833,-87.6669
15-016-2990-25-2400,School,Penn Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Comprehensive,All Students,Title 1 Schoolwide,5.0,9.0,216.0,52.3,47.7,,88.4,,,25.5,25.0,93.1,85.6,41.85835,-87.72185
15-016-2990-25-2864,School,Perez Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,12.0,24.0,290.0,48.3,51.7,,8.6,87.2,,22.1,17.9,44.1,84.1,41.8557,-87.6582
15-016-2990-25-053C,School,Perspectives Chtr -  IIT Campus,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,6 - 12,Commendable,All Students,Title 1 Schoolwide,3.0,5.0,398.0,46.5,53.5,,96.7,,,14.6,14.3,99.2,93.0,41.856362,-87.628274
15-016-2990-25-052C,School,Perspectives Chtr - High School of Technology,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,17.0,34.0,306.0,51.3,48.7,,97.4,,,15.4,15.4,99.3,94.8,41.8633111,-87.6591389
15-016-2990-25-050C,School,Perspectives Chtr - Joslin Campus,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,6 - 12,Commendable,All Students,Title 1 Schoolwide,3.0,6.0,307.0,50.5,49.5,,95.4,,,19.9,19.9,98.4,92.8,41.856362,-87.628274
15-016-2990-25-051C,School,Perspectives Chtr - Leadership Acad,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,6 - 12,Commendable,All Students,Title 1 Schoolwide,17.0,34.0,805.0,42.6,57.4,,98.6,,,13.2,13.2,,94.4,41.883229,-87.632398
15-016-2990-25-2403,School,Peterson Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,8.0,15.0,910.0,51.9,48.1,25.6,6.2,36.7,,19.5,12.1,41.3,56.8,41.9817849,-87.7128927
15-016-2990-25-0034,School,Phillips Academy High School,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Targeted,Children with Disabilities,Title 1 Schoolwide,3.0,5.0,397.0,54.7,45.3,,91.9,4.8,2.5,22.2,19.4,96.5,70.0,41.8239471,-87.6201395
15-016-2990-25-0803,School,Phoenix Military Academy HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,5.0,10.0,366.0,60.7,39.3,2.7,15.3,80.3,,7.9,7.9,35.8,87.4,41.8791,-87.6884
15-016-2990-25-2385,School,Piccolo Elem Specialty School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Targeted,Children with Disabilities,Title 1 Schoolwide,2.0,4.0,640.0,50.8,49.2,,30.6,67.7,,23.4,17.7,42.5,92.3,41.9002984,-87.7323515
15-016-2990-25-2404,School,Pickard Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,12.0,24.0,319.0,50.8,49.2,,5.6,90.0,,22.6,17.6,35.7,90.6,41.8528253,-87.6836959
15-016-2990-25-2289,School,Pilsen Elem Community Academy,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,12.0,24.0,216.0,53.7,46.3,,9.3,88.9,,19.9,19.0,27.3,92.1,42.0209,-87.6713
15-016-2990-25-2405,School,Pirie Elem Fine Arts & Academic C,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 6,Comprehensive,All Students,Title 1 Schoolwide,17.0,34.0,213.0,44.6,55.4,,96.7,,,23.5,18.8,97.2,72.3,41.7407,-87.6083
15-016-2990-25-2406,School,Plamondon Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,K - 8,Commendable,All Students,Title 1 Schoolwide,5.0,9.0,91.0,47.3,52.7,,19.8,73.6,,26.4,26.4,50.5,82.4,41.86059,-87.69255
15-016-2990-25-2951,School,Plato Learning Acad  Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,K - 8,Comprehensive,All Students,Title 1 Schoolwide,4.0,8.0,157.0,47.8,52.2,,,,,12.7,12.7,100.0,97.5,41.8725662,-87.7634053
15-016-2990-25-2809,School,Poe Elem Classical School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,K - 8,Exemplary,All Students,Title 1 Ineligible Due to Ranking,17.0,34.0,224.0,53.1,46.9,,87.1,5.8,,4.5,4.5,,32.6,41.7025,-87.6065
15-016-2990-25-226C,School,Polaris Elem Charter Academy,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,K - 8,Targeted,Children with Disabilities,Title 1 Schoolwide,5.0,10.0,343.0,49.6,50.4,,88.6,,,12.5,12.2,97.1,71.1,41.883229,-87.632398
15-016-2990-25-2409,School,Portage Park Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,10.0,19.0,927.0,52.5,,29.4,4.2,59.4,3.3,23.7,17.2,70.1,66.9,41.9570503,-87.7608386
15-016-2990-25-2785,School,Powell Elem Paideia Comm Academy,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Targeted,"Hispanic or Latino, English Learner",Title 1 Schoolwide,13.0,25.0,541.0,53.2,46.8,,88.4,10.5,,16.5,12.2,84.1,88.5,41.883229,-87.632398
15-016-2990-25-2410,School,Prescott Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,K - 8,Exemplary,All Students,Title 1 Ineligible Due to Ranking,20.0,40.0,462.0,54.5,,43.7,10.0,29.2,7.6,20.6,15.4,85.3,27.7,41.92909,-87.669294
15-016-2990-25-2958,School,Prieto Math-Science Elem Sch,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Schoolwide,2.0,3.0,728.0,51.0,49.0,,4.1,94.4,,20.5,16.9,29.4,88.0,41.7840421,-87.6882963
15-016-2990-25-2510,School,Pritzker Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,PK - 8,Commendable,All Students,Title 1 Ineligible Due to Ranking,2.0,3.0,673.0,49.6,50.4,38.8,18.1,23.5,10.8,11.9,10.8,89.5,26.0,41.90698,-87.67811
15-016-2990-25-0534,School,Prosser Career Academy HS,Chicago Public Schools District 299,Chicago,Cook,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,2.0,3.0,1163.0,50.1,49.9,1.1,22.4,75.6,,15.5,15.5,40.0,89.1,41.9192018,-87.7618333
15-016-2990-25-224C,School,Providence-Englewood Elem Charter,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,K - 8,Commendable,All Students,Title 1 Schoolwide,3.0,6.0,428.0,51.9,48.1,,91.8,7.2,,7.7,7.7,96.5,97.0,41.7752,-87.6636
15-016-2990-25-2412,School,Prussing Elem School,Chicago Public Schools District 299,Chicago,Cook,Unit District,Elementary School,K - 8,Commendable,All Students,Title 1 Schoolwide,10.0,19.0,642.0,50.0,50.0,37.4,1.9,52.0,2.0,22.3,12.0,53.0,65.3,41.96586,-87.77284
