school_id,school_name,district,county,school_type,grades_served,year,y_ela_prof,y_math_prof,y_chronic_abs,y_grad_4yr,Latitude,Longitude
05-016-0310-02-0000,,West Northfield SD 31,Cook,,,2025,71.7,61.7,12.2,,,
05-016-0310-02-1001,Field School,West Northfield SD 31,Cook,Middle/Junior High School,8-Jun,2025,80.3,61.6,10.2,,42.09836,-87.87534
05-016-0310-02-2002,Henry Winkelman Elem School,West Northfield SD 31,Cook,Elementary School,PK - 5,2025,63.6,61.7,13.1,,42.09419,-87.85701
05-016-0340-04-0000,,Glenview CCSD 34,Cook,,,2025,76.9,62.9,12.3,,,
05-016-0340-04-1006,Attea Middle School,Glenview CCSD 34,Cook,Middle/Junior High School,8-Jun,2025,80.8,57.2,14.4,,42.088843,-87.8195801
05-016-0340-04-1007,Springman Middle School,Glenview CCSD 34,Cook,Middle/Junior High School,8-Jun,2025,75.3,57.0,11.6,,42.0635855,-87.8239808
05-016-0340-04-2001,Glen Grove Elem School,Glenview CCSD 34,Cook,Elementary School,5-Mar,2025,81.8,72.2,8.9,,42.074282,-87.852679
05-016-0340-04-2002,Henking Elem School,Glenview CCSD 34,Cook,Elementary School,PK - 2,2025,,,9.7,,42.0688,-87.8315
05-016-0340-04-2003,Hoffman Elem School,Glenview CCSD 34,Cook,Elementary School,5-Mar,2025,75.1,68.6,12.7,,42.0636813,-87.8087269
05-016-0340-04-2004,Lyon Elem School,Glenview CCSD 34,Cook,Elementary School,PK - 2,2025,,,12.8,,42.079145,-87.796301
05-016-0340-04-2005,Pleasant Ridge Elem School,Glenview CCSD 34,Cook,Elementary School,5-Mar,2025,71.5,67.4,11.6,,42.0863049,-87.7918729
05-016-0340-04-2008,Westbrook Elementary School,Glenview CCSD 34,Cook,Elementary School,PK - 2,2025,,,16.0,,42.0797652,-87.8379785
05-016-0350-02-0000,,Glencoe SD 35,Cook,,,2025,85.6,81.7,9.1,,,
05-016-0350-02-1001,Central School,Glencoe SD 35,Cook,Middle/Junior High School,8-May,2025,85.6,80.1,10.2,,42.13142,-87.76006
05-016-0350-02-2001,West School,Glencoe SD 35,Cook,Elementary School,4-Mar,2025,85.6,85.2,7.9,,42.137118,-87.776567
05-016-0350-02-2002,South Elem School,Glencoe SD 35,Cook,Elementary School,PK - 2,2025,,,8.4,,42.12419,-87.75117
05-016-0360-02-0000,,Winnetka SD 36,Cook,,,2025,83.8,79.8,7.7,,,
