NAME,median_household_income,zip_code,ZIP,TRACT,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO,county_fips
ZCTA5 60406,59502,60406,60406,17031826800,BLUE ISLAND,IL,0.0986195158850227,0.05365296803652968,0.054691689008042894,0.08950964932041751,17031
ZCTA5 60406,59502,60406,60406,17031823400,BLUE ISLAND,IL,0.2043305597579425,0.2682648401826484,0.19624664879356568,0.20740406998573252,17031
ZCTA5 60406,59502,60406,60406,17031821402,BLUE ISLAND,IL,0,0.00228310502283105,0,0.00015018397536982803,17031
ZCTA5 60406,59502,60406,60406,17031824800,BLUE ISLAND,IL,0.015790468986384268,0.014840182648401826,0,0.013516557783284524,17031
ZCTA5 60409,53991,60409,60409,17031825803,CALUMET CITY,IL,0.1448073560106053,0.06269349845201239,0.1446393762183236,0.13987212750185324,17031
ZCTA5 60409,53991,60409,60409,17031826000,CALUMET CITY,IL,0.09973486771591358,0.1044891640866873,0.1847953216374269,0.11012787249814678,17031
ZCTA5 60409,53991,60409,60409,17031826202,CALUMET CITY,IL,0.12827889659840921,0.22213622291021673,0.0304093567251462,0.12226649369903632,17031
ZCTA5 60409,53991,60409,60409,17031827901,CALUMET CITY,IL,0,0.030959752321981424,0.0003898635477582846,0.0018995552260934025,17031
ZCTA5 60409,53991,60409,60409,17031825801,CALUMET CITY,IL,0.10441699103063123,0.06346749226006192,0.19337231968810917,0.11253706449221645,17031
ZCTA5 60409,53991,60409,60409,17031825900,CALUMET CITY,IL,0.07260111694026061,0.08746130030959752,0.07797270955165692,0.07412898443291327,17031
ZCTA5 60409,53991,60409,60409,17031826201,CALUMET CITY,IL,0.17284368477463755,0.23374613003095976,0.07719298245614035,0.1651223128243143,17031
ZCTA5 60409,53991,60409,60409,17031826100,CALUMET CITY,IL,0.14695097873300614,0.10371517027863777,0.1516569200779727,0.14492216456634543,17031
ZCTA5 60409,53991,60409,60409,17031825802,CALUMET CITY,IL,0.13036610819653635,0.09055727554179567,0.13957115009746587,0.12907709414381022,17031
ZCTA5 60409,53991,60409,60409,17031825700,CALUMET CITY,IL,0,0.0007739938080495357,0,4.633061527057079e-05,17031
ZCTA5 60411,56627,60411,60411,17031829000,CHICAGO HEIGHTS,IL,0.030670069645715274,0.053034166241713414,0.07658087067047982,0.03734278122232064,17031
ZCTA5 60411,56627,60411,60411,17031829302,CHICAGO HEIGHTS,IL,0.06402214820262145,0.06323304436511984,0.10517953606609469,0.06855624446412754,17031
ZCTA5 60411,56627,60411,60411,17031829700,CHICAGO HEIGHTS,IL,0.04758402906951594,0.06731259561448241,0.024149984111852558,0.04634189548272808,17031
ZCTA5 60411,56627,60411,60411,17031828900,CHICAGO HEIGHTS,IL,0.06579573474066704,0.12136664966853646,0.1544327931363203,0.07953941541186892,17031
ZCTA5 60411,56627,60411,60411,17031829600,CHICAGO HEIGHTS,IL,0.0004758402906951594,0.0005099439061703213,0,0.00042515500442869795,17031
ZCTA5 60411,56627,60411,60411,17031828701,CHICAGO HEIGHTS,IL,0.013063978889994377,0.016828148903620603,0.004130918334922148,0.012329495128432242,17031
ZCTA5 60411,56627,60411,60411,17031829401,CHICAGO HEIGHTS,IL,0.023921789159493015,0.0071392146863844975,0.00794407372100413,0.020974313551815765,17031
ZCTA5 60411,56627,60411,60411,17031829500,CHICAGO HEIGHTS,IL,0.07150581822900895,0.13564507904130546,0.09088020336828725,0.07812223206377325,17031
ZCTA5 60411,56627,60411,60411,17031828508,CHICAGO HEIGHTS,IL,0.10788597136306614,0.041815400305966345,0.07562758182395933,0.09969884853852967,17031
ZCTA5 60411,56627,60411,60411,17031828503,CHICAGO HEIGHTS,IL,0.07860016438119133,0.053034166241713414,0.017794725135049254,0.07004428697962799,17031
ZCTA5 60411,56627,60411,60411,17031828602,CHICAGO HEIGHTS,IL,8.651641649002898e-05,0.0005099439061703213,0,0.00010628875110717449,17031
ZCTA5 60411,56627,60411,60411,17031829100,CHICAGO HEIGHTS,IL,0.06683393173854739,0.09178990311065782,0.2113123609787099,0.08467670504871568,17031
ZCTA5 60411,56627,60411,60411,17031828504,CHICAGO HEIGHTS,IL,0.08945797465068997,0.031106578276389598,0.024149984111852558,0.07812223206377325,17031
