school_id,school_name,district,county,school_type,grades_served
05-016-2070-17-0003,Maine South High School,Maine Township HSD 207,Cook,High School,9 - 12
05-016-2070-17-0004,Maine West High School,Maine Township HSD 207,Cook,High School,9 - 12
05-016-2110-17-0000,,Township HSD 211,Cook,,
05-016-2110-17-0001,J B Conant High School,Township HSD 211,Cook,High School,9 - 12
05-016-2110-17-0002,Wm Fremd High School,Township HSD 211,Cook,High School,9 - 12
05-016-2110-17-0003,Palatine High School,Township HSD 211,Cook,High School,9 - 12
05-016-2110-17-0004,Schaumburg High School,Township HSD 211,Cook,High School,9 - 12
05-016-2110-17-0006,Hoffman Estates High School,Township HSD 211,Cook,High School,9 - 12
05-016-2140-17-0000,,Township HSD 214,Cook,,
05-016-2140-17-0002,Elk Grove High School,Township HSD 214,Cook,High School,9 - 12
05-016-2140-17-0004,John Hersey High School,Township HSD 214,Cook,High School,9 - 12
05-016-2140-17-0005,Prospect High School,Township HSD 214,Cook,High School,9 - 12
05-016-2140-17-0006,Wheeling High School,Township HSD 214,Cook,High School,9 - 12
05-016-2140-17-0007,Rolling Meadows High School,Township HSD 214,Cook,High School,9 - 12
05-016-2140-17-0008,Buffalo Grove High School,Township HSD 214,Cook,High School,9 - 12
05-016-2190-17-0000,,Niles Twp HSD 219,Cook,,
05-016-2190-17-0002,Niles North High School,Niles Twp HSD 219,Cook,High School,9 - 12
05-016-2190-17-0003,Niles West High School,Niles Twp HSD 219,Cook,High School,9 - 12
05-016-2250-17-0000,,Glenbrook HSD 225,Cook,,
05-016-2250-17-0001,Glenbrook North High School,Glenbrook HSD 225,Cook,High School,9 - 12
05-016-2250-17-0002,Glenbrook South High School,Glenbrook HSD 225,Cook,High School,9 - 12
06-016-0780-02-0000,,Rosemont ESD 78,Cook,,
06-016-0780-02-2001,Rosemont Elem School,Rosemont ESD 78,Cook,Elementary School,PK - 8
06-016-0790-02-0000,,Pennoyer SD 79,Cook,,
06-016-0790-02-2001,Pennoyer Elem School,Pennoyer SD 79,Cook,Elementary School,PK - 8
06-016-0800-02-0000,,Norridge SD 80,Cook,,
06-016-0800-02-1001,J Giles Elem School,Norridge SD 80,Cook,Middle/Junior High School,5 - 8
