school_id,school_name,district,county,school_type,grades_served,year,y_ela_prof,y_math_prof,y_chronic_abs,y_grad_4yr
05-016-0300-02-1001,Maple School,Northbrook/Glenview SD 30,Cook,Middle/Junior High School,8-Jun,2025,91.5,85.7,9.6,
05-016-0300-02-2002,Willowbrook Elem School,Northbrook/Glenview SD 30,Cook,Elementary School,PK - 5,2025,84.7,84.7,4.4,
05-016-0300-02-2003,Wescott Elementary School,Northbrook/Glenview SD 30,Cook,Elementary School,K - 5,2025,84.3,85.9,7.1,
05-016-0310-02-0000,,West Northfield SD 31,Cook,,,2025,71.7,61.7,12.2,
05-016-0310-02-1001,Field School,West Northfield SD 31,Cook,Middle/Junior High School,8-Jun,2025,80.3,61.6,10.2,
05-016-0310-02-2002,Henry Winkelman Elem School,West Northfield SD 31,Cook,Elementary School,PK - 5,2025,63.6,61.7,13.1,
05-016-0340-04-0000,,Glenview CCSD 34,Cook,,,2025,76.9,62.9,12.3,
05-016-0340-04-1006,Attea Middle School,Glenview CCSD 34,Cook,Middle/Junior High School,8-Jun,2025,80.8,57.2,14.4,
05-016-0340-04-1007,Springman Middle School,Glenview CCSD 34,Cook,Middle/Junior High School,8-Jun,2025,75.3,57,11.6,
05-016-0340-04-2001,Glen Grove Elem School,Glenview CCSD 34,Cook,Elementary School,5-Mar,2025,81.8,72.2,8.9,
05-016-0340-04-2002,Henking Elem School,Glenview CCSD 34,Cook,Elementary School,PK - 2,2025,,,9.7,
05-016-0340-04-2003,Hoffman Elem School,Glenview CCSD 34,Cook,Elementary School,5-Mar,2025,75.1,68.6,12.7,
05-016-0340-04-2004,Lyon Elem School,Glenview CCSD 34,Cook,Elementary School,PK - 2,2025,,,12.8,
05-016-0340-04-2005,Pleasant Ridge Elem School,Glenview CCSD 34,Cook,Elementary School,5-Mar,2025,71.5,67.4,11.6,
05-016-0340-04-2008,Westbrook Elementary School,Glenview CCSD 34,Cook,Elementary School,PK - 2,2025,,,16,
05-016-0350-02-0000,,Glencoe SD 35,Cook,,,2025,85.6,81.7,9.1,
05-016-0350-02-1001,Central School,Glencoe SD 35,Cook,Middle/Junior High School,8-May,2025,85.6,80.1,10.2,
05-016-0350-02-2001,West School,Glencoe SD 35,Cook,Elementary School,4-Mar,2025,85.6,85.2,7.9,
05-016-0350-02-2002,South Elem School,Glencoe SD 35,Cook,Elementary School,PK - 2,2025,,,8.4,
05-016-0360-02-0000,,Winnetka SD 36,Cook,,,2025,83.8,79.8,7.7,
05-016-0360-02-1005,Carleton W Washburne School,Winnetka SD 36,Cook,Middle/Junior High School,8-Jul,2025,80.5,79.2,13.7,
05-016-0360-02-2001,Crow Island Elem School,Winnetka SD 36,Cook,Elementary School,K - 4,2025,82.1,85,5.4,
05-016-0360-02-2002,Greeley Elem School,Winnetka SD 36,Cook,Elementary School,K - 4,2025,87.8,87,5.8,
05-016-0360-02-2003,Hubbard Woods Elem School,Winnetka SD 36,Cook,Elementary School,K - 4,2025,86.5,87.3,5,
05-016-0360-02-2004,The Skokie School,Winnetka SD 36,Cook,Elementary School,6-May,2025,85.3,73.1,8.3,
05-016-0370-02-0000,,Avoca SD 37,Cook,,,2025,88.5,78,7.3,
05-016-0370-02-1001,Marie Murphy School,Avoca SD 37,Cook,Middle/Junior High School,PK - 8,2025,88.8,78.9,9.6,
05-016-0370-02-2003,Avoca West Elem School,Avoca SD 37,Cook,Elementary School,K - 5,2025,88.2,76.9,5.6,
05-016-0380-02-0000,,Kenilworth SD 38,Cook,,,2025,87,84.6,3.8,
05-016-0380-02-2001,The Joseph Sears School,Kenilworth SD 38,Cook,Elementary School,PK - 8,2025,87,84.6,3.8,
05-016-0390-02-0000,,Wilmette SD 39,Cook,,,2025,85.7,77.1,5.7,
05-016-0390-02-1008,Wilmette Junior High School,Wilmette SD 39,Cook,Middle/Junior High School,8-Jul,2025,84.4,70.5,8.5,
05-016-0390-02-2002,Central Elem School,Wilmette SD 39,Cook,Elementary School,K - 4,2025,83,84.6,5.7,
05-016-0390-02-2003,Harper Elem School,Wilmette SD 39,Cook,Elementary School,K - 4,2025,79.1,79.3,,
05-016-0390-02-2005,McKenzie Elem School,Wilmette SD 39,Cook,Elementary School,K - 4,2025,91.9,90.2,4,
05-016-0390-02-2006,Romona Elem School,Wilmette SD 39,Cook,Elementary School,PK - 4,2025,85.5,82.7,5.8,
05-016-0390-02-2007,Highcrest Middle School,Wilmette SD 39,Cook,Elementary School,6-May,2025,87.8,76.9,5.4,
05-016-0540-04-0000,,Schaumburg CCSD 54,Cook,,,2025,68.7,54.2,20.1,
05-016-0540-04-1001,Jane Addams JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,8-Apr,2025,76.9,49.5,18.8,
05-016-0540-04-1012,Robert Frost JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,8-Jul,2025,71,54.4,17.7,
05-016-0540-04-1018,Dwight D Eisenhower JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,8-Jul,2025,70,42.5,23.8,
05-016-0540-04-1019,Margaret Mead JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,8-Jul,2025,84.5,58.4,16,
05-016-0540-04-1020,Helen Keller JHS,Schaumburg CCSD 54,Cook,Middle/Junior High School,8-Jun,2025,71.6,50.3,18.2,
05-016-0540-04-2002,Buzz Aldrin Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,51.1,49.7,19.9,
05-016-0540-04-2003,Neil Armstrong Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,63.2,51.9,23.2,
05-016-0540-04-2005,Campanelli Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,78.2,73.4,12.6,
05-016-0540-04-2006,Winston Churchill Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,63.5,47.1,20.9,
05-016-0540-04-2007,Michael Collins Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,70.2,69.1,14.7,
05-016-0540-04-2008,Everett Dirksen Elementary Sch,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,64.5,59.2,17.8,
05-016-0540-04-2009,Thomas Dooley Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,85.7,78.3,14.6,
05-016-0540-04-2010,Fairview Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,72.5,63.4,21.9,
05-016-0540-04-2011,Anne Fox Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,71.3,54.5,29.8,
05-016-0540-04-2013,Hanover Highlands Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,62.1,47.7,25.8,
05-016-0540-04-2015,Nathan Hale Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,66.2,55.9,18.1,
05-016-0540-04-2018,Lakeview Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,62.8,43.5,29.1,
05-016-0540-04-2019,MacArthur International Spanish Academy,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,59.2,47.1,16.3,
05-016-0540-04-2022,John Muir Literacy Academy,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,62,43.3,35.4,
05-016-0540-04-2023,Adolph Link Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,65.4,59,16.7,
05-016-0540-04-2026,Albert Einstein Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,50.8,41.1,17.3,
05-016-0540-04-2027,Hoover Math and Science Academy,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,77.7,63.4,19.2,
05-016-0540-04-2028,Adlai Stevenson Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,57.4,44.1,24.4,
05-016-0540-04-2029,Frederick Nerge Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,64.3,57.8,18.3,
05-016-0540-04-2030,Enders-Salk Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,64.9,52.9,23.8,
05-016-0540-04-2031,Elizabeth Blackwell Elem School,Schaumburg CCSD 54,Cook,Elementary School,K - 6,2025,62.7,48.6,23.4,
05-016-0540-04-2032,Lincoln Prairie School,Schaumburg CCSD 54,Cook,Elementary School,K - 8,2025,62.8,56.6,14.3,
05-016-0540-04-3111,The District 54 Early Learning Center,Schaumburg CCSD 54,Cook,Special School,PK,2025,,,,
05-016-0570-02-0000,,Mount Prospect SD 57,Cook,,,2025,65.2,57.7,11.9,
05-016-0570-02-1004,Lincoln Middle School,Mount Prospect SD 57,Cook,Middle/Junior High School,8-Jun,2025,60.4,55.6,14.5,
05-016-0570-02-2002,Fairview Elem School,Mount Prospect SD 57,Cook,Elementary School,5-Feb,2025,68.6,60.3,10.3,
05-016-0570-02-2005,Lions Park Elem School,Mount Prospect SD 57,Cook,Elementary School,5-Feb,2025,72.2,59.4,10.6,
05-016-0570-02-2008,Westbrook Early Learning Cntr,Mount Prospect SD 57,Cook,Elementary School,PK - 1,2025,,,9.6,
05-016-0590-04-0000,,Comm Cons SD 59,Cook,,,2025,45.8,37.8,22.9,
05-016-0590-04-1010,Grove Jr High School,Comm Cons SD 59,Cook,Middle/Junior High School,8-Jun,2025,40.6,26.7,23.8,
05-016-0590-04-1012,Holmes Jr High School,Comm Cons SD 59,Cook,Middle/Junior High School,8-Jun,2025,46.9,40.9,26.7,
05-016-0590-04-1016,Friendship Jr High School,Comm Cons SD 59,Cook,Middle/Junior High School,8-Jun,2025,53.6,38.9,21.1,
05-016-0590-04-2001,Brentwood Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,46.5,40.8,14.8,
05-016-0590-04-2002,Adm Richard E Byrd Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,34.1,28,24.1,
05-016-0590-04-2003,Clearmont Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,54,50.5,22.4,
05-016-0590-04-2006,Devonshire School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,50.6,43.4,22.9,
05-016-0590-04-2008,Forest View Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,60.3,54,22,
05-016-0590-04-2009,Robert Frost Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,44.2,40.5,24.3,
05-016-0590-04-2014,John Jay Elem School,Comm Cons SD 59,Cook,Elementary School,K - 5,2025,29.5,32.9,32.4,
