,POP20,School Name,year,x_enrollment,n_black,n_white,n_hispanic,n_low_income,county_enrollment,county_n_black,county_n_white,county_n_hispanic,county_n_low_income,pct_black_school,pct_white_school,pct_hispanic_school,pct_low_income_school,pct_black_county,pct_white_county,pct_hispanic_county,pct_low_income_county,seg_black,seg_white,seg_hispanic,seg_low_income,rr_black,rr_white,rr_hispanic,rr_low_income,school,D_black_white,D_lowincome_notlowincome,D_white_hispanic,median_hh_income,total_n_hh,hh_under_0.5_pov,hh_between_0.5_0.74_pov,hh_between_0.75_0.99_pov,hh_between_1.00_to_1.24_pov,hh_between_1.25_to_1.49_pov,hh_between_1.50_to_1.74_pov,hh_between_1.75_to_1.84_pov,hh_between_1.85_to_1.99_pov,hh_between_2.00_to_2.99_pov,hh_between_3.00_to_3.99_pov,hh_between_4.00_to_4.99_pov,hh_between_5.00_and_over_pov,pov_share_under_1_00,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LowIncomeTracts,LA1and10,LAhalfand10,LA1and20,transport_length
838,6183.0,Senn High School,2024,1448.0,368.0,266.0,584.0,1074,210612.0,52648,51800,86482,117471,0.2541436464088398,0.1837016574585635,0.4033149171270718,0.7417127071823204,0.2499762596623174,0.2459498983913547,0.4106223766926861,0.5577602415816763,0.0041673867465223,0.0622482409327911,0.0073074595656142,0.1839524656006441,1.0166711300991218,0.7469068239510228,0.9822039421609914,1.3298056259424271,Senn High School,0.7885703578630185,0.5226036612987716,0.5984771053748413,127055.0,1428.0,71.0,0.0,0.0,0.0,54.0,0.0,17.0,15.0,186.0,27.0,137.0,921.0,0.049719888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95317.97881291115
839,6183.0,Senn High School,2025,1495.0,351.0,269.0,599.0,1099,208640.0,50846,49298,86055,116033,0.2347826086956521,0.1799331103678929,0.4006688963210702,0.7351170568561873,0.2437020705521472,0.2362825920245398,0.4124568634969325,0.5561397622699387,0.008919461856495,0.0563494816566469,0.0117879671758622,0.1789772945862486,0.9634001392097878,0.7615165756654872,0.9714201211832908,1.3218207125772403,Senn High School,0.7828371078077657,0.5053128806800504,0.5947474157648664,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95317.97881291115
840,2617.0,King College Prep High School,2016,648.0,610.0,2.0,21.0,517,202153.0,53396,60264,72076,118333,0.941358024691358,0.0030864197530864,0.0324074074074074,0.7978395061728395,0.264136569825825,0.2981108368414023,0.3565418272298704,0.5853635612630038,0.677221454865533,0.2950244170883159,0.324134419822463,0.2124759449098356,3.5639064492739547,0.0103532625173516,0.0908937042792279,1.362981160718971,King College Prep High School    ,0.7582594210265702,0.575559100801645,0.6026948148460517,18808.0,530.0,155.0,13.0,66.0,43.0,55.0,0.0,0.0,9.0,68.0,57.0,0.0,64.0,0.4415094339622641,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9367.337133627672
841,2617.0,King College Prep High School,2017,638.0,598.0,4.0,25.0,511,214388.0,58760,58066,79985,127304,0.9373040752351096,0.006269592476489,0.0391849529780564,0.8009404388714734,0.2740825046177957,0.2708453831371158,0.373085247308618,0.5938018918969346,0.6632215706173139,0.2645757906606268,0.3339002943305616,0.2071385469745388,3.4197880544844232,0.0231482346269681,0.1050294892674821,1.3488344341794245,King College Prep High School    ,0.7865127144466507,0.6084814665314048,0.6303904112872264,21769.0,526.0,126.0,7.0,62.0,21.0,63.0,0.0,0.0,11.0,103.0,70.0,0.0,63.0,0.370722433460076,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9367.337133627672
842,2617.0,King College Prep High School,2018,599.0,563.0,,23.0,480,214766.0,57263,56658,82313,126859,0.9398998330550918,,0.0383973288814691,0.8013355592654424,0.2666297272380172,0.2638127077842861,0.3832683013139882,0.5906847452576293,0.6732701058170747,,0.3448709724325191,0.2106508140078131,3.525112682638176,,0.10018394098815,1.3566213884801397,King College Prep High School,0.7864616524779631,0.5877897656269258,0.6230274556540557,22808.0,470.0,68.0,46.0,38.0,29.0,80.0,0.0,0.0,0.0,96.0,34.0,10.0,69.0,0.3234042553191489,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9367.337133627672
843,2617.0,King College Prep High School,2019,514.0,484.0,1.0,21.0,407,213394.0,55511,55637,82711,121341,0.9416342412451362,0.0019455252918287,0.0408560311284046,0.791828793774319,0.2601338369401201,0.2607242940288855,0.3875975894355042,0.5686242349831767,0.681500404305016,0.2587787687370567,0.3467415583070996,0.2232045587911423,3.619806836055279,0.0074620023388125,0.105408372605999,1.3925343751796757,King College Prep High School,0.7839074603594075,0.5542569409271805,0.6247704774800023,22451.0,470.0,48.0,82.0,44.0,54.0,52.0,0.0,0.0,0.0,116.0,0.0,20.0,54.0,0.3702127659574468,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9367.337133627672
844,2617.0,King College Prep High School,2020,483.0,461.0,1.0,13.0,401,213127.0,54361,56586,83401,121674,0.9544513457556936,0.0020703933747412,0.0269151138716356,0.8302277432712215,0.2550638820984671,0.26550366682776,0.3913206679585411,0.5708990414166202,0.6993874636572265,0.2634332734530188,0.3644055540869055,0.2593287018546013,3.742009013205676,0.007797984108763,0.0687802001669054,1.454246167958361,King College Prep High School,0.7873785595622814,0.5458890801078016,0.6231312056700935,26102.0,499.0,95.0,65.0,61.0,0.0,26.0,0.0,0.0,0.0,90.0,0.0,37.0,125.0,0.4428857715430861,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9367.337133627672
845,2617.0,King College Prep High School,2021,462.0,440.0,,10.0,348,214047.0,54702,55045,84985,119674,0.9523809523809524,,0.0216450216450216,0.7532467532467533,0.2555606946137997,0.2571631464117694,0.3970389680771045,0.5591015057440656,0.6968202577671525,,0.3753939464320829,0.1941452475026877,3.726633134333035,,0.0545161139971989,1.347245080737736,King College Prep High School,0.7967067793961019,0.5492514836824691,0.6148661607598671,23861.0,533.0,126.0,83.0,21.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,49.0,161.0,0.4315196998123827,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9367.337133627672
846,2617.0,King College Prep High School,2022,623.0,590.0,,15.0,504,214727.0,54973,53880,86275,119290,0.9470304975922952,,0.0240770465489566,0.8089887640449438,0.2560134496360495,0.2509232653555445,0.4017892486738975,0.5555426192327932,0.6910170479562459,,0.3777122021249409,0.2534461448121505,3.699143536945424,,0.0599245664945559,1.4562136837713022,King College Prep High School,0.7965876587239,0.5284115178179017,0.6101835313650843,19475.0,466.0,106.0,98.0,23.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,51.0,180.0,0.4871244635193133,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9367.337133627672
847,2617.0,King College Prep High School,2023,581.0,546.0,,18.0,454,211933.0,53373,52636,86325,118949,0.9397590361445785,,0.0309810671256454,0.7814113597246127,0.2518390245973963,0.2483615104773678,0.4073221253886842,0.5612575672500272,0.687920011547182,,0.3763410582630387,0.2201537924745855,3.731586229127629,,0.0760603590980528,1.3922509117396222,King College Prep High School,0.7939227726308796,0.5118302351061063,0.6030007625551171,35266.0,531.0,113.0,52.0,65.0,0.0,0.0,0.0,0.0,0.0,9.0,48.0,49.0,195.0,0.4331450094161959,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9367.337133627672
